"","patch","area_m2","longitude","latitude"
"396",621,2,658707.49968052,5212355.23415026
"397",623,10,658977.419449818,5212353.33417956
"398",627,86,658231.674132721,5212341.69947522
"399",629,17,658170.695658365,5212348.67542785
"400",630,1,658774.504588052,5212350.73421964
"401",631,21,659070.573891627,5212348.73425048
"402",633,4,659084.027257922,5212349.73423506
"403",634,202,659266.406952298,5212339.5413229
"404",636,3,658163.793192035,5212347.06760951
"405",637,1,658767.504075325,5212347.73426589
"406",638,1,659225.537622338,5212347.73426589
"407",639,1,659082.527148052,5212346.73428131
"408",641,22,658279.559246658,5212343.59796603
"409",643,34,658774.916382918,5212341.29318873
"410",645,94,659342.365327897,5212341.26628051
"411",646,2,658240.465474286,5212344.23431985
"412",647,4,658861.510960519,5212344.23431986
"413",648,950,659168.940845532,5212325.61144908
"414",650,4,659250.039416883,5212344.23431985
"415",651,593,658259.077292753,5212328.97232919
"416",653,6,658243.299015151,5212341.9010225
"417",656,25,659254.699758213,5212338.77440404
"418",661,188,658784.13827236,5212326.1814067
"419",662,11,658983.883559622,5212338.46168158
"420",664,5,658171.060390961,5212339.13439849
"421",665,80,658874.849437448,5212335.42195573
"422",666,102,659031.278296476,5212331.82274651
"423",667,14,658363.188748423,5212336.37729813
"424",668,3,658293.135998615,5212337.06776368
"425",672,2,659306.543555325,5212336.2344432
"426",674,67,659234.000928769,5212330.63005199
"427",677,2,658862.010997143,5212334.73446632
"428",678,1,658958.518065455,5212334.73446632
"429",682,1861,658484.759562318,5212241.10291689
"430",683,22,658868.966051995,5212328.23456653
"431",684,184,658889.676066849,5212322.51182868
"432",686,34,659143.384546509,5212328.49926834
"433",687,8,659258.165012013,5212329.98453955
"434",688,6,659361.547583896,5212330.56786389
"435",691,24,658969.102173983,5212329.026221
"436",696,16,658809.257133377,5212325.4221099
"437",697,9,659113.751657201,5212326.84569906
"438",698,1,659052.524950649,5212326.73458966
"439",699,1483,659305.583943571,5212282.33338616
"440",700,6,659254.539746494,5212325.23461279
"441",702,2,658229.964705195,5212324.7346205
"442",703,2,658987.020152987,5212324.23462821
"443",704,2,659052.024914026,5212324.7346205
"444",707,1,658995.520775584,5212323.73463591
"445",711,2,658355.973934286,5212322.23465904
"446",713,2,659446.053773247,5212322.73465133
"447",715,402,659206.013804326,5212307.78463307
"448",716,9,658384.142664069,5212319.40136939
"449",717,1,659162.533007792,5212319.73469758
"450",719,20,659375.498605688,5212317.08473844
"451",720,553,658888.96143396,5212298.61567419
"452",722,104,659241.577258641,5212312.16750656
"453",725,2,659274.541211428,5212317.23473613
"454",726,624,658675.857939957,5212284.66793054
"455",727,17,659017.993009717,5212314.97006516
"456",729,3,658378.475582338,5212315.73475925
"457",730,40,659007.821676519,5212312.3848109
"458",732,3,659218.53710961,5212314.73477467
"459",734,2551,659366.84511027,5212269.26977591
"460",736,3,659296.542822857,5212311.73482092
"461",738,67,659033.135470835,5212307.16772716
"462",739,1,659066.525976104,5212311.73482092
"463",740,52,659384.260785904,5212307.63873023
"464",741,1,659445.553736623,5212311.73482092
"465",742,103,658240.980075082,5212302.29807321
"466",744,13,658929.362083876,5212308.65794528
"467",746,8,658739.627033571,5212308.23487488
"468",747,18,658826.175039134,5212307.01267151
"469",749,80,658439.1675275,5212303.09745409
"470",753,196,658750.23240216,5212292.22491764
"471",757,575,658704.007250816,5212279.63270717
"472",759,23,659045.307030694,5212296.2133211
"473",760,266,659160.536620972,5212282.16384827
"474",761,58346,659123.838695352,5212094.93913693
"475",764,133,659272.548584283,5212288.44946565
"476",765,21,658762.122728807,5212293.06844205
"477",766,4,658878.012169091,5212294.23509073
"478",767,2,659091.527807273,5212294.23509073
"479",769,28,659190.070738979,5212292.77082759
"480",771,37,659487.610871001,5212291.00541079
"481",772,2,658974.019200779,5212292.73511386
"482",773,12,658874.42857329,5212289.90182421
"483",774,6,658883.679250823,5212290.56848059
"484",775,34,658928.427626295,5212287.0881421
"485",776,211,659001.516475381,5212281.91537546
"486",777,38,659178.849992345,5212288.10360632
"487",779,1,659333.545532987,5212290.73514469
"488",780,206,658962.72225687,5212272.98299121
"489",781,1,658975.519310649,5212289.73516011
"490",782,28,659250.575170408,5212286.73520636
"491",783,392,659402.445987515,5212269.20996635
"492",785,5,658878.112176416,5212287.93518786
"493",786,1,658980.519676883,5212288.73517553
"494",788,1,659333.545532987,5212287.73519094
"495",791,13,659493.326466333,5212283.96601829
"496",792,8,659292.042493247,5212282.8602661
"497",793,12,658878.262187403,5212281.40195525
"498",796,2,659483.056483377,5212283.23526032
"499",799,85,659265.034632801,5212277.02947365
"500",803,1,659068.526122597,5212280.73529887
"501",804,194,658768.478373487,5212267.51900778
"502",805,4,658933.266215974,5212278.7353297
"503",808,14,658904.442676326,5212275.52109354
"504",809,79,659048.942409778,5212274.8619717
"505",810,1,659088.527587533,5212277.73534512
"506",812,27,659069.081718845,5212275.1427925
"507",813,35,658944.974216342,5212271.76400861
"508",815,3,659279.874935411,5212273.0687504
"509",817,4,658878.512205714,5212271.98543377
"510",819,31,658426.156493908,5212268.47742334
"511",820,4,658893.013267792,5212270.73545304
"512",822,1,659409.55109974,5212271.73543762
"513",823,3,658301.803300087,5212270.06879665
"514",824,165,658719.452071081,5212255.84477353
"515",825,2,658878.512205714,5212268.23549158
"516",826,10,659008.021691169,5212267.235507
"517",829,2,659356.047181039,5212267.73549929
"518",831,1,658709.499827013,5212266.73551471
"519",832,1,658884.512645195,5212266.73551471
"520",833,13,658703.037815265,5212263.88940474
"521",836,3,658155.79260606,5212264.40221735
"522",837,121,658435.033443723,5212259.28934852
"523",840,1,658428.479244675,5212263.73556096
"524",841,2,658717.500412987,5212263.23556867
"525",846,25,658150.898914307,5212257.29566025
"526",847,1,659050.524804156,5212259.73562263
"527",849,34,658773.092719939,5212254.02982825
"528",850,4,658161.459687792,5212257.23566118
"529",853,661,657713.219596341,5212236.76623396
"530",855,3,658070.786380087,5212256.40234069
"531",856,40,659185.884718104,5212252.86072863
"532",857,44,659051.593064215,5212252.34937287
"533",859,2,657718.927276104,5212254.23570743
"534",860,6,658685.164711342,5212253.90237924
"535",862,4,658968.26877961,5212252.9857267
"536",863,22,658149.686098206,5212251.4630229
"537",864,15,659117.863069437,5212250.46909884
"538",866,11,658424.11528869,5212250.19031525
"539",867,788,658923.457121908,5212237.035465
"540",868,156,658094.666334215,5212243.69740837
"541",872,1,659107.528979221,5212250.73576139
"542",874,1,659056.525243636,5212249.73577681
"543",875,3,659114.196134199,5212249.06912042
"544",876,1,659378.548829091,5212249.73577681
"545",877,1,658764.503855584,5212248.73579223
"546",878,20,658876.412051896,5212246.23583077
"547",883,1,658766.504002078,5212247.73580764
"548",886,1,659205.536157403,5212247.73580764
"549",887,54,659340.175648216,5212244.03216104
"550",888,46,659414.660169588,5212245.30106257
"551",896,52,658694.24871,5212241.23590786
"552",899,1,658070.453022338,5212244.7358539
"553",900,4,658429.979354545,5212244.2358616
"554",901,13,658832.431907652,5212241.58205637
"555",903,72,659290.556273283,5212239.04149725
"556",908,6,659428.21913368,5212239.56926689
"557",909,40,658439.505052221,5212237.61096375
"558",910,1,659231.538061818,5212239.73593098
"559",911,4,659334.04556961,5212239.23593869
"560",912,10,659404.250711532,5212237.63596336
"561",913,2,659094.02799039,5212238.7359464
"562",914,8,659222.787420909,5212237.3609676
"563",916,10,659427.852440156,5212233.33602965
"564",917,310,658711.241890087,5212216.22661602
"565",918,1,659439.553297143,5212234.73600807
"566",919,1,659086.527441039,5212233.73602349
"567",921,1,659064.52582961,5212232.7360389
"568",924,20,658844.459711662,5212228.48610443
"569",925,80,658973.481661409,5212224.54866513
"570",928,1,658304.470162078,5212229.73608516
"571",929,6,658990.687088225,5212228.40277238
"572",933,14,659330.902482264,5212227.02184129
"573",935,16,658074.578324481,5212223.61117959
"574",936,5,659067.326034701,5212227.13612524
"575",937,2,659083.527221299,5212227.2361237
"576",940,77,659275.203597604,5212221.2297228
"577",941,4,657702.926104156,5212224.73616225
"578",942,7,659239.538647792,5212224.73616225
"579",945,92,658987.117986239,5212219.37754921
"580",946,227,659297.926184088,5212212.90815077
"581",948,6,657705.926323896,5212222.73619308
"582",950,5,658855.910550338,5212220.93622083
"583",951,39,658862.972606034,5212217.86447332
"584",952,9,659061.52560987,5212220.40289572
"585",956,1,658263.467158961,5212219.73623933
"586",957,5,659085.727382442,5212219.3362455
"587",959,2,658080.953791429,5212218.73625475
