"","logger_ID","Gnaphalium.supinum","Luzula.alpino.pilosa","Salix.herbacea","Sibbaldia.procumbens"
"587",787,0,0,0,0
"588",788,1,1,1,0
"589",790,1,0,0,0
"590",791,0,0,1,0
"591",792,1,0,0,1
"592",793,1,1,1,0
"593",794,1,0,0,0
"594",795,1,1,1,0
"595",796,1,0,1,1
"596",797,1,1,1,0
"597",798,0,1,0,0
"598",799,1,1,0,0
"599",800,1,1,0,0
"600",801,0,1,0,0
"601",802,0,1,0,0
"602",803,1,0,1,1
"603",804,0,1,0,0
"604",805,1,1,0,0
"605",808,0,0,0,0
"606",809,0,1,0,0
"607",810,0,0,0,0
"608",814,0,1,0,0
"609",815,0,0,0,0
"610",816,1,0,0,1
"611",817,1,1,0,0
"612",818,0,0,0,0
"613",819,1,1,0,1
"614",826,0,0,0,0
"615",828,0,0,0,0
"616",829,1,1,1,0
"617",832,1,0,1,0
"618",834,1,0,1,0
"619",835,1,1,1,1
"620",836,0,0,0,0
"621",839,0,1,0,0
"622",840,0,0,0,0
"623",841,0,1,0,0
"624",843,1,1,1,0
"625",846,0,1,1,0
"626",848,1,1,1,0
"627",859,0,1,0,0
"628",861,1,1,0,1
"629",862,0,0,0,0
"630",863,1,1,0,0
"631",864,0,0,0,0
"632",865,0,0,0,0
"633",866,1,1,1,0
"634",867,0,0,0,0
"635",870,1,1,0,0
"636",871,0,0,0,0
"637",872,0,1,0,0
"638",873,0,1,0,0
"639",874,0,0,0,0
"640",876,0,0,0,0
"641",877,0,0,0,0
"642",878,0,0,0,0
"643",879,0,0,0,0
"644",881,0,1,0,0
"645",882,0,0,1,0
"646",883,0,0,0,0
"647",884,0,0,0,0
"648",885,0,0,0,0
"649",886,0,1,0,0
"650",889,0,0,0,0
"651",890,0,0,1,0
"652",891,0,0,0,0
"653",894,0,0,1,1
"654",895,1,0,0,0
"655",896,1,0,0,0
"656",897,1,1,1,1
"657",899,0,1,1,0
"658",900,1,0,0,0
"659",901,0,0,0,0
"660",902,1,0,0,0
"661",903,1,0,0,0
"662",905,1,0,0,0
"663",906,0,0,0,0
"664",907,0,1,1,0
"665",909,0,0,0,1
"666",910,1,0,0,1
"667",912,0,0,0,0
"668",913,1,0,1,0
"669",914,0,0,0,1
"670",915,0,0,1,0
"671",916,0,0,0,0
"672",917,0,0,0,0
"673",918,0,0,1,0
"674",919,1,1,1,0
"675",920,0,0,0,0
"676",922,0,0,1,0
"677",923,1,0,0,0
"678",924,0,0,0,0
"679",925,0,1,1,1
"680",926,0,0,0,0
"681",927,0,0,0,0
"682",928,0,0,0,0
"683",931,1,0,0,0
"684",932,1,0,1,0
"685",933,0,0,0,0
"686",934,1,0,0,0
"687",935,0,0,0,0
"688",936,0,0,0,0
"689",938,1,0,0,0
"690",939,0,0,0,0
"691",940,0,0,0,0
"692",942,1,0,1,0
"693",945,0,0,0,0
"694",947,1,0,0,0
"695",948,0,0,1,0
"696",949,0,1,1,0
"697",950,0,1,0,0
"698",951,0,1,1,0
"699",952,0,0,0,0
"700",953,0,0,0,0
"701",954,0,1,1,0
"702",955,0,0,1,0
"703",956,1,0,0,0
"704",957,1,1,1,1
"705",958,1,1,1,0
"706",960,0,0,0,0
"707",961,1,1,1,1
"708",962,1,0,1,1
"709",963,0,0,0,0
"710",964,0,0,0,0
"711",965,0,0,1,0
"712",966,0,0,1,0
"713",967,0,1,1,0
"714",968,1,0,1,1
"715",969,0,1,1,0
"716",970,0,0,1,0
"717",971,0,1,0,0
"718",972,0,0,1,0
"719",973,0,0,0,0
"720",510,1,0,1,0
"721",706,0,0,0,0
"722",404,0,0,0,0
"723",375,0,0,0,0
"724",688,0,0,0,0
"725",669,1,0,0,0
"726",929,0,0,0,0
"727",943,0,0,0,0
"728",821,0,0,0,0
"729",509,1,0,0,0
"730",542,1,1,1,0
"731",293,0,1,0,0
"732",294,0,1,0,0
"733",689,0,0,1,0
"734",959,0,0,1,0
"735",705,0,0,0,0
"736",946,0,0,0,0
"737",396,0,0,0,0
"738",139,0,0,0,0
"739",735,0,0,0,0
"740",127,0,0,0,0
"741",168,0,0,0,0
"742",134,1,1,1,0
"743",457,0,0,0,0
"744",453,0,0,0,0
"745",831,0,0,0,0
"746",630,0,1,0,0
"747",199,0,0,0,0
"748",150,0,0,0,0
"749",205,0,0,0,0
"750",166,0,0,0,0
"751",171,0,0,0,0
"752",66,0,0,0,0
"753",179,1,0,0,0
"754",23,0,0,0,0
"755",57,1,0,0,0
"756",158,0,0,0,0
"757",128,0,0,0,0
"758",191,0,0,0,0
"759",222,1,0,0,0
"760",58,1,0,0,0
"761",55,1,0,0,0
"762",123,0,0,0,0
"763",187,0,0,0,0
"764",196,0,0,0,0
"765",194,0,0,0,0
"766",221,0,0,0,0
"767",721,0,0,0,0
"768",116,1,0,1,1
"769",506,0,0,0,0
"770",759,1,1,0,0
"771",786,1,0,1,0
"772",789,1,0,1,0
"773",94,1,0,0,0
"774",115,0,0,0,0
"775",70,0,0,0,0
"776",93,0,0,0,0
"777",207,0,0,0,0
"778",133,0,0,0,0
"779",69,1,0,0,0
"780",114,1,0,0,0
"781",89,0,0,0,0
"782",99,1,1,1,0
"783",41,1,0,0,1
"784",930,1,1,0,0
"785",941,0,0,0,0
"786",855,1,1,0,0
"787",851,0,1,0,0
"788",944,0,1,1,0
"789",853,0,0,0,0
"790",164,1,0,0,0
"791",807,0,1,1,0
"792",850,1,1,1,1
"793",857,0,0,1,0
"794",20,1,0,0,0
"795",138,0,0,0,0
"796",142,0,0,0,0
"797",30,0,0,0,0
"798",447,0,0,0,0
"799",460,0,0,0,0
"800",480,0,0,0,0
"801",492,1,0,0,0
"802",838,0,0,0,0
"803",449,0,0,0,0
"804",452,0,0,0,0
"805",97,0,0,0,0
"806",49,0,0,0,0
"807",54,0,0,0,0
"808",119,0,0,0,0
"809",908,0,0,0,0
"810",860,0,0,0,0
"811",892,0,0,0,0
"812",458,0,0,0,0
"813",169,0,0,0,0
"814",830,1,0,0,0
"815",699,0,0,0,0
"816",880,0,0,0,0
"817",682,1,0,0,0
"818",491,1,0,1,0
"819",448,1,1,1,0
"820",813,0,1,0,0
"821",811,0,0,0,0
"822",822,0,0,0,0
"823",852,1,0,0,0
"824",225,0,0,0,0
"825",178,1,1,1,1
"826",145,1,1,1,0
"827",733,1,0,0,0
"828",146,1,0,0,0
"829",812,1,0,0,0
"830",824,1,0,0,0
"831",129,0,0,0,0
"832",379,0,0,0,0
"833",734,0,0,0,0
"834",820,0,0,1,0
"835",154,0,0,0,0
"836",92,1,0,0,1
"837",126,1,0,0,1
"838",504,1,0,0,0
"839",868,0,0,0,0
"840",887,1,0,1,0
"841",888,0,0,1,0
"842",167,0,0,0,0
"843",451,1,0,0,0
"844",438,0,0,0,0
"845",172,0,0,0,0
"846",43,0,0,0,0
"847",2,0,0,0,0
"848",84,0,0,0,0
"849",937,0,0,0,0
"850",898,0,0,0,0
"851",719,0,0,0,0
"852",806,0,0,0,0
